country_code,country,year,indicator_code,indicator,theme,unit,value,source
TUR,Turkiye,2021,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.7406,World Bank WDI
TUR,Turkiye,2022,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-4.9976,World Bank WDI
TUR,Turkiye,2023,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-3.6337,World Bank WDI
TUR,Turkiye,2024,BN.CAB.XOKA.GD.ZS,Current account balance,Trade,% of GDP,-0.766,World Bank WDI
DZA,Algeria,1990,FP.CPI.TOTL.ZG,Inflation,Prices,%,16.6525,World Bank WDI
DZA,Algeria,1991,FP.CPI.TOTL.ZG,Inflation,Prices,%,25.8864,World Bank WDI
DZA,Algeria,1992,FP.CPI.TOTL.ZG,Inflation,Prices,%,31.6697,World Bank WDI
DZA,Algeria,1993,FP.CPI.TOTL.ZG,Inflation,Prices,%,20.5403,World Bank WDI
DZA,Algeria,1994,FP.CPI.TOTL.ZG,Inflation,Prices,%,29.0477,World Bank WDI
DZA,Algeria,1995,FP.CPI.TOTL.ZG,Inflation,Prices,%,29.7796,World Bank WDI
DZA,Algeria,1996,FP.CPI.TOTL.ZG,Inflation,Prices,%,18.6791,World Bank WDI
DZA,Algeria,1997,FP.CPI.TOTL.ZG,Inflation,Prices,%,5.7335,World Bank WDI
DZA,Algeria,1998,FP.CPI.TOTL.ZG,Inflation,Prices,%,4.9502,World Bank WDI
DZA,Algeria,1999,FP.CPI.TOTL.ZG,Inflation,Prices,%,2.6455,World Bank WDI
DZA,Algeria,2000,FP.CPI.TOTL.ZG,Inflation,Prices,%,0.3392,World Bank WDI
DZA,Algeria,2001,FP.CPI.TOTL.ZG,Inflation,Prices,%,4.226,World Bank WDI
DZA,Algeria,2002,FP.CPI.TOTL.ZG,Inflation,Prices,%,1.4183,World Bank WDI
DZA,Algeria,2003,FP.CPI.TOTL.ZG,Inflation,Prices,%,4.269,World Bank WDI
DZA,Algeria,2004,FP.CPI.TOTL.ZG,Inflation,Prices,%,3.9618,World Bank WDI
DZA,Algeria,2005,FP.CPI.TOTL.ZG,Inflation,Prices,%,1.3824,World Bank WDI
DZA,Algeria,2006,FP.CPI.TOTL.ZG,Inflation,Prices,%,2.3115,World Bank WDI
DZA,Algeria,2007,FP.CPI.TOTL.ZG,Inflation,Prices,%,3.679,World Bank WDI
DZA,Algeria,2008,FP.CPI.TOTL.ZG,Inflation,Prices,%,4.8586,World Bank WDI
DZA,Algeria,2009,FP.CPI.TOTL.ZG,Inflation,Prices,%,5.7371,World Bank WDI
DZA,Algeria,2010,FP.CPI.TOTL.ZG,Inflation,Prices,%,3.9111,World Bank WDI
DZA,Algeria,2011,FP.CPI.TOTL.ZG,Inflation,Prices,%,4.5242,World Bank WDI
DZA,Algeria,2012,FP.CPI.TOTL.ZG,Inflation,Prices,%,8.8915,World Bank WDI
DZA,Algeria,2013,FP.CPI.TOTL.ZG,Inflation,Prices,%,3.2542,World Bank WDI
DZA,Algeria,2014,FP.CPI.TOTL.ZG,Inflation,Prices,%,2.9169,World Bank WDI
DZA,Algeria,2015,FP.CPI.TOTL.ZG,Inflation,Prices,%,4.7844,World Bank WDI
